Review ID,Review Length,Sentiment Score
1,162,75
2,150,72
3,162,36
4,489,38
5,130,84
6,236,99
7,162,89
8,51,99
9,179,25
10,269,93
11,103,18
12,392,82
13,273,66
14,274,54
15,434,35
16,452,80
17,175,61
18,179,41
19,102,33
20,221,68
21,267,33
22,209,14
23,247,21
24,465,48
25,296,20
26,373,8
27,488,7
28,252,67
29,233,17
30,172,33
31,450,48
32,304,76
33,343,59
34,329,86
35,374,22
36,421,30
37,147,38
38,247,51
39,444,54
40,289,8
41,193,27
42,146,27
43,250,98
44,173,21
45,236,30
46,375,97
47,398,28
48,308,64
49,197,97
50,301,69
51,492,61
52,469,48
53,452,19
54,395,4
55,196,35
56,197,64
57,401,49
58,248,17
59,357,44
60,466,92
61,473,30
62,177,93
63,88,46
64,387,6
65,409,99
66,178,37
67,316,24
68,490,93
69,483,46
70,200,53
71,464,95
72,347,99
73,148,60
74,312,97
75,301,63
76,193,85
77,395,32
78,161,87
79,109,33
80,418,67
81,51,18
82,434,25
83,353,95
84,303,54
85,189,58
86,86,67
87,209,46
88,58,24
89,282,32
90,148,47
91,196,86
92,353,23
93,257,66
94,180,27
95,453,2
96,201,90
97,103,17
98,169,33
99,210,9
100,457,43
